,others,query,source,suggestion,title,word
abc1401,,6,added space before digit,abc 1401,0,abc1401
abralon,[],6,from all products,,0,abralon
abz,[],7,from all products,,0,abz
accesorios,"[(u'accessories', 509)]",11,from all products,accessories,0,accesorios
acondicionado,[],17,from all products,,0,acondicionado
acq,[],15,from all products,,0,acq
adaapter,"[(u'adapter', 1444), (u'adapters', 26)]",6,from all products,adapter,0,adaapter
adara,"[(u'aaa', 84), (u'avara', 16), (u'mandara', 66), (u'radar', 52), (u'adr', 14), (u'ada', 86), (u'adora', 53), (u'ara', 20)]",16,from all products,mandara,0,adara
adi,"[(u'audio', 144), (u'sadie', 12), (u'radio', 142)]",11,from all products,,0,adi
adj,[],9,from all products,,0,adj
adk,[],13,from all products,,0,adk
adrienne,"[(u'andenne', 16)]",11,from matched products,andenne,0,adrienne
adrone,"[(u'adorne', 135)]",11,from matched products,adorne,0,adrone
afakro,"[(u'fakro', 60)]",14,from matched products,fakro,0,afakro
afi,"[(u'afci', 28)]",1,from matched products,afci,0,afi
against,[],10,from all products,,0,against
agustin,"[(u'austin', 61), (u'augustine', 14)]",11,from all products,austin,0,agustin
airconditioner,[],44,from bigrams,air conditioner,0,airconditioner
airens,"[(u'ariens', 287)]",1,from matched products,ariens,0,airens
airhose,[],2,from bigrams,air hose,0,airhose
airnailer,[],9,from bigrams,air nailer,0,airnailer
airvents,[],1,from all products,,0,airvents
akc,[],13,from all products,,0,akc
akio,"[(u'akro', 21)]",16,from all products,akro,0,akio
akita,"[(u'makita', 1091)]",12,from matched products,makita,0,akita
alick,"[(u'click', 395), (u'alike', 36)]",2,from all products,,0,alick
all18,,10,added space before digit,all 18,0,all18
alm,"[(u'alum', 56), (u'palm', 242), (u'salem', 41), (u'alarm', 565)]",1,from all products,,0,alm
alu,"[(u'alum', 56), (u'value', 516)]",15,from all products,alum,0,alu
alvin,"[(u'lin', 58), (u'align', 17)]",11,from all products,align,0,alvin
amco,"[(u'camco', 88), (u'emco', 174), (u'camo', 152), (u'raco', 494), (u'taco', 30)]",10,from all products,camco,0,amco
americna,"[(u'american', 2961), (u'americast', 50)]",11,from matched products,american,0,americna
